# Radial distribution function (1000 data points):
# "Pair separation distance" C-C
4.39875 0.9673030408 
4.40325 0.9725710618 
4.40775 0.9708342892 
4.41225 0.9748082404 
4.41675 0.9773993005 
4.42125 0.9757042118 
4.42575 0.9726782825 
4.43025 0.971030705 
4.43475 0.9731219678 
4.43925 0.9757151663 
4.44375 0.9820265414 
4.44825 0.9856427321 
4.45275 0.9772505081 
4.45725 0.977473087 
4.46175 0.9827076535 
4.46625 0.9798769973 
4.47075 0.9852539429 
4.47525 0.9836860574 
4.47975 0.9764959753 
4.48425 0.9844093915 
4.48875 0.9884164689 
4.49325 0.9870969653 
4.49775 0.9854858004 
